# Catriona Murray - NIRCam JWST Data Challenge 2022
# Wavelength             Depth                    Uncertainty
2.370760440826416016e+00 9.466180812490000013e-03 3.465039200200000294e-04
2.412928462028503418e+00 2.139502991615999800e-02 1.933694687999999842e-05
2.455096244812012163e+00 2.216948279364000171e-02 5.121960480000000894e-06
2.497263908386230469e+00 1.086868800900000001e-02 1.688898600000000046e-06
2.539431571960449219e+00 1.096761885695999965e-02 2.157363839999999996e-06
2.581600785255432129e+00 2.254003779555999870e-02 4.173708519999999941e-06
2.623768687248229980e+00 2.225789480464000422e-02 3.878960799999999726e-06
2.665936708450317383e+00 2.293722366016000269e-02 3.786260000000000659e-06
2.708104372024536133e+00 2.299453796025000343e-02 3.639348000000000515e-06
2.750272154808044434e+00 2.267237890225000038e-02 3.463190499999999991e-06
2.792439937591552734e+00 2.308056754440999947e-02 3.403072959999999824e-06
2.834607720375061035e+00 2.281921423609000257e-02 3.293114540000000513e-06
2.876775741577148438e+00 2.278575155024999480e-02 3.200129399999999573e-06
2.918943881988525391e+00 2.239260845056000385e-02 3.202330240000000244e-06
2.961111545562744141e+00 2.247303808200999675e-02 3.208076139999999674e-06
3.003279328346252441e+00 2.229484977315999636e-02 3.135606599999999477e-06
3.045446991920471191e+00 2.225944641599999704e-02 3.133115999999999718e-06
3.087615966796875000e+00 2.213078720164000229e-02 3.094295360000000282e-06
3.129784822463989258e+00 2.225890931363999972e-02 2.954045159999999925e-06
3.171952486038208008e+00 2.246476380624999949e-02 2.877743999999999937e-06
3.214120268821716309e+00 2.257635466849000280e-02 2.794729980000000442e-06
3.256288051605224609e+00 2.255436279721000428e-02 2.673223580000000074e-06
3.298455953598022461e+00 2.272369323844000352e-02 2.592793360000000454e-06
3.340623974800109863e+00 2.280531880448999696e-02 2.537040239999999453e-06
3.382791638374328613e+00 2.269720020481000300e-02 2.561150300000000275e-06
3.424959301948547807e+00 2.279206167616000187e-02 2.506108640000000029e-06
3.467126965522766113e+00 2.279462824520999895e-02 2.476053959999999747e-06
3.509294629096984863e+00 2.270220225624999463e-02 2.410759999999999599e-06
3.551462292671204057e+00 2.261793413475999756e-02 2.346124559999999595e-06
3.593630194664001021e+00 2.266686824703999931e-02 2.348661120000000055e-06
3.635801315307617188e+00 2.238967557124000446e-02 2.274403360000000102e-06
3.677968978881835938e+00 2.217892369080999918e-02 2.293458860000000415e-06
3.720136761665343794e+00 2.218696641841000003e-02 1.906597119999999809e-06
3.762304425239562988e+00 2.227741323844000323e-02 2.268694240000000261e-06
3.804472327232360840e+00 2.095661569600000204e-02 2.200412799999999987e-06
3.846640229225159135e+00 2.211055989443999961e-02 1.873572120000000028e-06
3.888808131217956987e+00 2.217841734564000161e-02 2.263647840000000129e-06
3.930975914001464844e+00 2.224825812224999824e-02 2.147882399999999905e-06
3.973143577575684038e+00 2.199235612323999570e-02 1.868557319999999752e-06
4.015311241149902344e+00 2.131091950275999791e-02 2.423311159999999985e-06
4.057479619979858398e+00 1.839343538176000173e-02 4.828157439999999558e-06
4.099648237228393555e+00 1.205806040463999924e-02 1.489012751999999814e-05
4.141816139221191406e+00 6.070903055999999666e-03 5.639560079999999875e-05
4.183984279632568359e+00 1.976433740409999900e-03 3.193442407199999743e-04
