wavelength,r,r_err,u0,u1,u0_err,u1_err,mean,mean_err,t0,period,b
2.370760440826416,0.1003398,0.0018113,1.9069558,-0.9285217,0.0601258,0.0509666,-0.0011998,0.0002046,0.2029856,4.055259,0.5094012
2.4129284620285034,0.1506304,5.35e-05,1.4560037,-0.7271443,0.0027708,0.0018268,0.0001728,8.2e-06,0.2029856,4.055259,0.5094012
2.4550962448120117,0.1536956,1.85e-05,1.4161087,-0.6695088,0.0027261,0.004037,-1.86e-05,2.2e-06,0.2029856,4.055259,0.5094012
2.4972639083862305,0.1079415,8.8e-06,1.8790016,-0.8790032,0.0007822,0.0007822,0.0003013,1.1e-06,0.2029856,4.055259,0.5094012
2.539431571960449,0.1076921,9.9e-06,1.070611,-0.0706144,0.0013788,0.0013788,-0.0002645,1.2e-06,0.2029856,4.055259,0.5094012
2.581600785255432,0.1549775,1.47e-05,1.3688592,-0.626252,0.0022214,0.0032762,0.0001257,1.8e-06,0.2029856,4.055259,0.5094012
2.62376868724823,0.1540198,1.39e-05,1.3847763,-0.6305473,0.002096,0.0031066,0.0001271,1.7e-06,0.2029856,4.055259,0.5094012
2.6659367084503174,0.1563738,1.09e-05,1.4350862,-0.7164937,0.0010273,0.00143,-7.89e-05,1.6e-06,0.2029856,4.055259,0.5094012
2.708104372024536,0.156555,1.28e-05,1.3727172,-0.6095064,0.001903,0.0028189,5.46e-05,1.6e-06,0.2029856,4.055259,0.5094012
2.7502721548080444,0.1555034,1.23e-05,1.3970717,-0.6517759,0.0018188,0.0026929,-0.0001208,1.5e-06,0.2029856,4.055259,0.5094012
2.7924399375915527,0.1565949,9.1e-06,1.437808,-0.7188594,0.0004433,0.00023,-5.68e-05,1.5e-06,0.2029856,4.055259,0.5094012
2.834607720375061,0.156019,1.15e-05,1.4092163,-0.6761005,0.0017083,0.0025288,-0.0004601,1.4e-06,0.2029856,4.055259,0.5094012
2.8767757415771484,0.1557792,1.14e-05,1.3580565,-0.5848787,0.0017053,0.0025246,-5.9e-06,1.4e-06,0.2029856,4.055259,0.5094012
2.9189438819885254,0.1545285,1.14e-05,1.4185859,-0.6808292,0.0016869,0.0024971,-8.02e-05,1.4e-06,0.2029856,4.055259,0.5094012
2.961111545562744,0.1547623,8.6e-06,1.4505171,-0.7250372,0.0004654,0.0003843,8.2e-06,1.4e-06,0.2029856,4.055259,0.5094012
3.0032793283462524,0.1539337,8.5e-06,1.4482023,-0.7240568,0.0004143,0.0002164,-0.0001639,1.3e-06,0.2029856,4.055259,0.5094012
3.045446991920471,0.1539713,8.5e-06,1.4415321,-0.7206661,0.0004282,0.0002548,2.15e-05,1.3e-06,0.2029856,4.055259,0.5094012
3.087615966796875,0.1535674,1.1e-05,1.4287066,-0.70861,0.0016403,0.0024288,-0.0002,1.3e-06,0.2029856,4.055259,0.5094012
3.1297848224639893,0.1540642,1.05e-05,1.4508079,-0.7207981,0.0015229,0.002253,-0.000411,1.3e-06,0.2029856,4.055259,0.5094012
3.171952486038208,0.1547188,7.9e-06,1.4436893,-0.7215223,0.0004818,0.0004995,-7.2e-05,1.2e-06,0.2029856,4.055259,0.5094012
3.2141202688217163,0.1550891,7.6e-06,1.4260654,-0.7125903,0.0005366,0.0006248,-0.0001554,1.2e-06,0.2029856,4.055259,0.5094012
3.2562880516052246,0.1549624,7.2e-06,1.4153949,-0.7075441,0.0003857,0.0002863,-0.0001796,1.1e-06,0.2029856,4.055259,0.5094012
3.2984559535980225,0.1553398,7e-06,1.4053589,-0.7026499,0.0003532,0.0001812,-1e-05,1.1e-06,0.2029856,4.055259,0.5094012
3.34062397480011,0.155581,6.8e-06,1.4122604,-0.706104,0.0003441,0.0001758,-1e-05,1.1e-06,0.2029856,4.055259,0.5094012
3.3827916383743286,0.1550928,6.8e-06,1.4009533,-0.7004609,0.0003382,0.0001705,-0.0003276,1.1e-06,0.2029856,4.055259,0.5094012
3.4249593019485474,0.1551565,6.7e-06,1.3830454,-0.6915115,0.0003428,0.0001722,-9.81e-05,1.1e-06,0.2029856,4.055259,0.5094012
3.467126965522766,0.1551178,6.6e-06,1.3852854,-0.6926331,0.0003324,0.0001667,-0.0003065,1.1e-06,0.2029856,4.055259,0.5094012
3.509294629096985,0.1550771,6.5e-06,1.3873178,-0.6936439,0.0003274,0.000165,-0.0002008,1e-06,0.2029856,4.055259,0.5094012
3.5514622926712036,0.1545232,6.4e-06,1.3718208,-0.6859011,0.0003299,0.0001654,-0.0002589,1e-06,0.2029856,4.055259,0.5094012
3.5936301946640015,0.1544246,6.3e-06,1.3490174,-0.6745019,0.0003301,0.0001652,-0.000328,1e-06,0.2029856,4.055259,0.5094012
3.635801315307617,0.1536368,6.2e-06,1.3609241,-0.6804545,0.0003171,0.0001589,-2.73e-05,1e-06,0.2029856,4.055259,0.5094012
3.677968978881836,0.1530333,6.2e-06,1.3586681,-0.6793243,0.0003231,0.0001621,-8.28e-05,1e-06,0.2029856,4.055259,0.5094012
3.7201367616653442,0.1527312,6.2e-06,1.3680719,-0.6840302,0.0003207,0.0001605,-0.0001578,1e-06,0.2029856,4.055259,0.5094012
3.762304425239563,0.153049,6.2e-06,1.3454779,-0.6727325,0.0003195,0.00016,-0.0001438,1e-06,0.2029856,4.055259,0.5094012
3.804472327232361,0.149434,8.1e-06,1.5389416,-0.6820151,0.0011259,0.0017026,-0.0002213,1e-06,0.2029856,4.055259,0.5094012
3.8466402292251587,0.1524743,6.1e-06,1.374994,-0.6874923,0.0003168,0.0001585,-0.0003018,1e-06,0.2029856,4.055259,0.5094012
3.8888081312179565,0.1527904,6.1e-06,1.3717701,-0.6858782,0.0003179,0.0001593,-0.0002163,1e-06,0.2029856,4.055259,0.5094012
3.930975914001465,0.1529912,6.1e-06,1.3811667,-0.6905772,0.0003154,0.000158,0.0002223,1e-06,0.2029856,4.055259,0.5094012
3.9731435775756836,0.152169,6.1e-06,1.4048814,-0.702435,0.000312,0.0001562,-0.0002917,1e-06,0.2029856,4.055259,0.5094012
4.015311241149902,0.1496359,8e-06,1.3598445,-0.6799166,0.000426,0.0002131,-0.0002648,1.2e-06,0.2029856,4.055259,0.5094012
4.057479619979858,0.1393219,1.77e-05,1.5275003,-0.7637403,0.0008886,0.0004443,0.0019979,2.5e-06,0.2029856,4.055259,0.5094012
4.0996482372283936,0.1134324,6.53e-05,1.9716468,-0.9857869,0.0027837,0.0013926,0.0044794,7.7e-06,0.2029856,4.055259,0.5094012
4.141816139221191,0.0809294,0.0003648,1.9991759,-0.9993535,0.0005799,0.0004934,-0.0093767,3.39e-05,0.2029856,4.055259,0.5094012
4.183984279632568,0.0493536,0.0034219,1.974983,-0.9800787,0.0186218,0.0161529,0.0043005,0.0001883,0.2029856,4.055259,0.5094012
