wavelength,r,r_err,u,u_err,mean,mean_err,t0,period,b
2.370760440826416,0.0972943,0.0017807,"[1.921525, -0.9384396]","[0.0522516, 0.0452585]",-0.0011683,0.0002044,0.202876,4.055258,0.469921
2.4129284620285034,0.1462704,6.61e-05,"[1.466658, -0.641399]","[0.0093572, 0.0143242]",0.0001826,8.3e-06,0.202876,4.055258,0.469921
2.4550962448120117,0.1488942,1.72e-05,"[1.3384945, -0.4397545]","[0.0025618, 0.0039056]",-1.97e-05,2.2e-06,0.202876,4.055258,0.469921
2.4972639083862305,0.104253,8.1e-06,"[1.9999901, -0.999991]","[8.4e-06, 8.3e-06]",0.00031,1e-06,0.202876,4.055258,0.469921
2.539431571960449,0.1047264,1.03e-05,"[1.3872489, -0.3872508]","[0.0011585, 0.0011585]",-0.0002771,1.2e-06,0.202876,4.055258,0.469921
2.581600785255432,0.1501334,1.39e-05,"[1.27024, -0.3594115]","[0.0020768, 0.0031714]",0.0001231,1.8e-06,0.202876,4.055258,0.469921
2.62376868724823,0.1491908,1.3e-05,"[1.2974158, -0.3821308]","[0.0019438, 0.0029677]",0.0001245,1.7e-06,0.202876,4.055258,0.469921
2.6659367084503174,0.1514504,1.25e-05,"[1.3387884, -0.4582282]","[0.0018198, 0.0027817]",-8.1e-05,1.6e-06,0.202876,4.055258,0.469921
2.708104372024536,0.1516395,1.2e-05,"[1.283566, -0.357122]","[0.0017563, 0.0026841]",5.17e-05,1.6e-06,0.202876,4.055258,0.469921
2.7502721548080444,0.1505735,1.15e-05,"[1.2972468, -0.3836866]","[0.0016947, 0.0025902]",-0.000125,1.5e-06,0.202876,4.055258,0.469921
2.7924399375915527,0.1519229,1.12e-05,"[1.4008693, -0.5563189]","[0.0016011, 0.002443]",-5.05e-05,1.5e-06,0.202876,4.055258,0.469921
2.834607720375061,0.1510603,1.09e-05,"[1.3025873, -0.39843]","[0.0016026, 0.0024445]",-0.0004643,1.4e-06,0.202876,4.055258,0.469921
2.8767757415771484,0.1509495,1.06e-05,"[1.2834669, -0.3551759]","[0.0015673, 0.0023961]",-7.2e-06,1.4e-06,0.202876,4.055258,0.469921
2.9189438819885254,0.1496416,1.07e-05,"[1.3216733, -0.4197675]","[0.0015841, 0.0024263]",-8.27e-05,1.4e-06,0.202876,4.055258,0.469921
2.961111545562744,0.1499101,1.07e-05,"[1.3662227, -0.4869827]","[0.0015395, 0.0023544]",8.1e-06,1.4e-06,0.202876,4.055258,0.469921
3.0032793283462524,0.1493146,1.05e-05,"[1.4101976, -0.5605251]","[0.0015131, 0.0023089]",-0.0001578,1.3e-06,0.202876,4.055258,0.469921
3.045446991920471,0.149196,1.05e-05,"[1.3642158, -0.4932272]","[0.0015323, 0.002335]",2.25e-05,1.4e-06,0.202876,4.055258,0.469921
3.087615966796875,0.1487642,1.04e-05,"[1.3343742, -0.453755]","[0.0015309, 0.0023365]",-0.0002004,1.3e-06,0.202876,4.055258,0.469921
3.1297848224639893,0.1491942,9.9e-06,"[1.359803, -0.4718319]","[0.0014534, 0.0022232]",-0.0004121,1.3e-06,0.202876,4.055258,0.469921
3.171952486038208,0.1498825,9.6e-06,"[1.3563052, -0.4787341]","[0.001393, 0.0021311]",-7.16e-05,1.2e-06,0.202876,4.055258,0.469921
3.2141202688217163,0.1502543,9.3e-06,"[1.3325675, -0.4589865]","[0.0013512, 0.0020588]",-0.000156,1.2e-06,0.202876,4.055258,0.469921
3.2562880516052246,0.1501811,8.9e-06,"[1.3229479, -0.4554324]","[0.0013087, 0.0019902]",-0.0001784,1.1e-06,0.202876,4.055258,0.469921
3.2984559535980225,0.1507438,8.6e-06,"[1.3529176, -0.5143011]","[0.0012672, 0.0019224]",-3.3e-06,1.1e-06,0.202876,4.055258,0.469921
3.34062397480011,0.1510143,8.4e-06,"[1.3727426, -0.5390926]","[0.0012281, 0.0018714]",-2e-06,1.1e-06,0.202876,4.055258,0.469921
3.3827916383743286,0.1506559,8.5e-06,"[1.3835264, -0.5672471]","[0.0012297, 0.0018724]",-0.0003168,1.1e-06,0.202876,4.055258,0.469921
3.4249593019485474,0.1509704,8.3e-06,"[1.4099115, -0.6291543]","[0.0012096, 0.0018342]",-7.97e-05,1.1e-06,0.202876,4.055258,0.469921
3.467126965522766,0.1509789,8.2e-06,"[1.4242086, -0.6492016]","[0.0011821, 0.0017938]",-0.0002864,1.1e-06,0.202876,4.055258,0.469921
3.509294629096985,0.1506725,8e-06,"[1.3660058, -0.5541139]","[0.0011775, 0.0017837]",-0.0001891,1e-06,0.202876,4.055258,0.469921
3.5514622926712036,0.1503926,7.8e-06,"[1.3981774, -0.6220491]","[0.001148, 0.0017399]",-0.0002393,1e-06,0.202876,4.055258,0.469921
3.5936301946640015,0.1505552,7.8e-06,"[1.4232462, -0.6853707]","[0.0011447, 0.0017254]",-0.0003013,1e-06,0.202876,4.055258,0.469921
3.635801315307617,0.1496318,7.6e-06,"[1.4074241, -0.6476712]","[0.0011262, 0.0017059]",-5.7e-06,1e-06,0.202876,4.055258,0.469921
3.677968978881836,0.1489259,7.7e-06,"[1.3740921, -0.5974286]","[0.0011496, 0.0017401]",-6.48e-05,1e-06,0.202876,4.055258,0.469921
3.7201367616653442,0.1489529,6.4e-06,"[1.4649877, -0.7323387]","[0.0003316, 0.0002679]",-0.0001298,1e-06,0.202876,4.055258,0.469921
3.762304425239563,0.1492562,7.6e-06,"[1.4265235, -0.6948613]","[0.0011031, 0.0016686]",-0.0001165,1e-06,0.202876,4.055258,0.469921
3.804472327232361,0.144764,7.6e-06,"[1.5840613, -0.6543612]","[0.0010122, 0.0015726]",-0.0002191,1e-06,0.202876,4.055258,0.469921
3.8466402292251587,0.1486962,6.3e-06,"[1.4694012, -0.7346831]","[0.000297, 0.0001503]",-0.0002734,1e-06,0.202876,4.055258,0.469921
3.8888081312179565,0.1489242,7.6e-06,"[1.4523626, -0.7089649]","[0.0011024, 0.0016713]",-0.0001913,1e-06,0.202876,4.055258,0.469921
3.930975914001465,0.1491585,7.2e-06,"[1.4759256, -0.7366819]","[0.0008619, 0.0013008]",0.000249,1e-06,0.202876,4.055258,0.469921
3.9731435775756836,0.1482982,6.3e-06,"[1.4992418, -0.7495552]","[0.0002969, 0.0001744]",-0.0002662,1e-06,0.202876,4.055258,0.469921
4.015311241149902,0.1459826,8.3e-06,"[1.4532463, -0.7266115]","[0.0003967, 0.0001991]",-0.0002358,1.2e-06,0.202876,4.055258,0.469921
4.057479619979858,0.1356224,1.78e-05,"[1.6006194, -0.8002981]","[0.0008414, 0.000421]",0.002026,2.5e-06,0.202876,4.055258,0.469921
4.0996482372283936,0.1098092,6.78e-05,"[1.9921446, -0.996034]","[0.0028432, 0.0014229]",0.0045188,7.8e-06,0.202876,4.055258,0.469921
4.141816139221191,0.077916,0.0003619,"[1.9990676, -0.9992779]","[0.0006642, 0.0005535]",-0.0093758,3.41e-05,0.202876,4.055258,0.469921
4.183984279632568,0.0444571,0.0035916,"[1.9669558, -0.9740942]","[0.025094, 0.0213573]",0.0042146,0.000189,0.202876,4.055258,0.469921
